,watchers,stars,forks,type,issues,size,open_issues_count,num_languages,language_1,language_1_size,language_2,language_2_size,language_3,language_3_size
10235,2,2,0,User,0,252,0,1,JavaScript,60213.0,0,0.0,0,0.0
10505,3,4,1,User,0,252,0,2,PHP,27487.0,JavaScript,9759.0,0,0.0
132214,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
125912,1,1,0,User,0,2360,0,2,C,31696.0,C++,9650.0,0,0.0
23399,2,2,0,User,0,2856,0,1,C++,39208.0,0,0.0,0,0.0
28166,3,1,2,User,0,440,0,2,Shell,182752.0,C,151961.0,0,0.0
47556,2,6,1,User,0,495,0,6,Erlang,257265.0,JavaScript,146013.0,Java,44345.0
108869,1,1,1,User,0,122,0,1,JavaScript,1394.0,0,0.0,0,0.0
40977,2,1,0,User,0,92,0,0,0,0.0,0,0.0,0,0.0
16766,2,2,0,User,0,86,0,0,0,0.0,0,0.0,0,0.0
63231,2,2,0,User,0,112,0,2,Python,4262.0,JavaScript,2477.0,0,0.0
75861,1,1,1,User,0,442,0,0,Ruby,0.0,0,0.0,0,0.0
24995,21,114,11,User,51,1874,51,3,TeX,372595.0,Shell,1777.0,Lua,595.0
13106,3,46,8,User,1,231,1,1,JavaScript,2778.0,0,0.0,0,0.0
113005,0,1,0,User,0,3912,0,2,JavaScript,1117989.0,Ruby,102991.0,0,0.0
131420,0,4,0,Organization,0,2024,0,1,Java,116824.0,0,0.0,0,0.0
113829,12,23,7,User,1,24647,1,2,Java,2812115.0,Emacs Lisp,4408.0,0,0.0
91862,1,3,2,User,0,1927,0,1,Java,94844.0,0,0.0,0,0.0
73255,1,2,0,User,0,108,0,1,Ruby,6181.0,0,0.0,0,0.0
68000,2,2,1,User,1,383,1,0,JavaScript,0.0,0,0.0,0,0.0
8884,1,15,1,User,2,4253,2,2,C++,55041.0,C#,33682.0,0,0.0
119955,2,2,0,User,0,200,0,1,Java,49804.0,0,0.0,0,0.0
116562,1,2,1,User,0,87,0,0,JavaScript,0.0,0,0.0,0,0.0
61316,2,1,0,User,0,132,0,0,0,0.0,0,0.0,0,0.0
89405,1,1,0,User,0,244,0,3,C,39901.0,Shell,875.0,C++,497.0
116027,1,4,1,User,1,724,1,1,JavaScript,20778.0,0,0.0,0,0.0
80745,1,1,0,User,0,1276,0,4,Java,108596.0,Python,12020.0,JavaScript,1261.0
9003,1,4,1,User,0,123,0,1,Ruby,17634.0,0,0.0,0,0.0
96110,1,1,1,User,0,1391,0,1,Python,121072.0,0,0.0,0,0.0
81523,1,1,0,User,0,76,0,1,C,1728.0,0,0.0,0,0.0
64304,2,1,0,User,0,172,0,1,Python,89005.0,0,0.0,0,0.0
47582,2,1,0,User,0,96,0,1,Scheme,3019.0,0,0.0,0,0.0
35857,2,1,1,User,0,1006,0,3,GDB,7773.0,Vim script,4511.0,Shell,1148.0
2136,2,3,0,User,0,80,0,0,0,0.0,0,0.0,0,0.0
107303,0,1,0,User,0,96,0,1,Ruby,8900.0,0,0.0,0,0.0
30982,2,1,0,User,0,160,0,2,Ruby,19324.0,JavaScript,148.0,0,0.0
8354,2,2,3,User,0,228,0,1,Python,148563.0,0,0.0,0,0.0
34609,15,9,0,User,0,1951,0,3,Objective-C,2193506.0,C++,2289.0,Ruby,869.0
97796,1,1,1,User,0,4047,0,0,Objective-C,0.0,0,0.0,0,0.0
1136,2,3,1,User,0,112,0,1,Ruby,4627.0,0,0.0,0,0.0
74957,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
26141,2,3,1,User,0,425,0,1,Perl,63562.0,0,0.0,0,0.0
15381,2,2,0,User,0,265,0,1,Ruby,16373.0,0,0.0,0,0.0
112224,1,3,1,User,0,5448,0,1,Clojure,74674.0,0,0.0,0,0.0
7583,2,11,2,User,0,111,0,1,Python,12626.0,0,0.0,0,0.0
105205,1,2,0,User,0,92,0,1,Ruby,6233.0,0,0.0,0,0.0
56115,2,1,0,User,0,86128,0,1,C,45698.0,0,0.0,0,0.0
135226,1,1,0,User,0,11372,0,2,Objective-C,52331.0,C,13261.0,0,0.0
74176,1,2,0,User,0,72,0,1,JavaScript,2461.0,0,0.0,0,0.0
77884,1,2,1,User,0,78,0,1,Perl,5118.0,0,0.0,0,0.0
127229,1,1,1,User,0,2056,0,0,Ruby,0.0,0,0.0,0,0.0
105302,1,1,0,User,0,100,0,1,Ruby,6221.0,0,0.0,0,0.0
709,3,6,0,User,0,88,0,1,Common Lisp,7775.0,0,0.0,0,0.0
2320,2,7,1,User,0,136,0,1,Ruby,11227.0,0,0.0,0,0.0
106140,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
41172,2,1,0,User,0,124,0,0,0,0.0,0,0.0,0,0.0
7452,3,4,0,User,17,3208,17,3,JavaScript,66720.0,Python,58551.0,Scheme,5512.0
112867,6,43,25,User,9,275,9,3,Python,176936.0,Makefile,956.0,Shell,602.0
101005,3,9,3,User,0,120,0,1,Java,10259.0,0,0.0,0,0.0
127032,1,3,4,User,2,1382,2,2,Java,88555.0,C,12887.0,0,0.0
105926,1,1,0,User,0,40254,0,6,HTML,27533.0,JavaScript,13804.0,CSS,12826.0
102761,1,1,0,User,0,92,0,1,Python,3440.0,0,0.0,0,0.0
126538,1,1,0,User,0,764,0,1,JavaScript,535.0,0,0.0,0,0.0
1237,2,4,0,User,0,175,0,1,Ruby,17797.0,0,0.0,0,0.0
42989,1,1,0,User,0,3624,0,2,PHP,194993.0,JavaScript,31465.0,0,0.0
26609,2,2,1,User,0,10916,0,5,C,1494161.0,Perl,1278301.0,M4,31626.0
129066,1,2,1,User,0,171,0,1,Ruby,77482.0,0,0.0,0,0.0
69727,1,0,1,User,0,631,0,0,PHP,0.0,0,0.0,0,0.0
65189,13,203,37,User,10,228,10,1,VimL,5290.0,0,0.0,0,0.0
17241,2,2,0,User,0,76,0,0,0,0.0,0,0.0,0,0.0
84882,1,10,4,User,1,725,1,1,Ruby,5654.0,0,0.0,0,0.0
28960,1,4,1,User,0,66,0,1,Ruby,5147.0,0,0.0,0,0.0
58922,1,1,0,User,0,4020,0,1,Emacs Lisp,81047.0,0,0.0,0,0.0
78277,1,1,0,User,0,76,0,1,Ruby,1577.0,0,0.0,0,0.0
116269,1,13,0,User,0,244,0,0,Ruby,0.0,0,0.0,0,0.0
38398,6,82,3,User,0,125,0,1,Ruby,31596.0,0,0.0,0,0.0
33748,3,2,0,User,0,72,0,0,0,0.0,0,0.0,0,0.0
109707,1,1,0,User,0,100,0,0,0,0.0,0,0.0,0,0.0
