,stars
76955,1
18523,3
100423,9
63155,1
52006,1
93444,4
128971,1
61856,1
849,1182
6447,2
99302,54
58845,1
42233,1
54518,15
85798,1
27930,1
106902,0
125750,1
91547,2
38660,1
2568,2
129023,876
3002,2
5473,4
4829,3
32976,4
66472,3
92625,5
39633,3
122870,26
129414,2
36992,5
74613,1
64420,1
116957,3
39945,1
28961,5
72187,1
16550,2
130055,1
111211,1
10702,8
39759,1
102141,3
83673,1
49119,1
19251,3
34898,11
128404,1
47241,1
89965,1
104222,2
33870,2
44834,4
121054,1
7036,13
106931,1
92881,2
120146,1
130309,1
46138,8
63868,1
59294,1
129349,1
33909,9
82409,1
5025,14
55557,1
117367,1
6526,28
92440,1
82447,6
128103,7
23320,2
125990,1
104745,2
71131,1
23463,2
108329,0
37085,1
38891,4
11387,2
14400,12
7106,2
59997,1
88345,1
40944,1
8235,2
60015,4
53651,1
3770,1
101651,2
52450,25
18408,7
18592,2
89267,0
3166,2
134076,1
78394,3
134344,0
119709,1
7750,2
73922,1
116477,1
83870,73
100404,2
89937,0
27446,2
103870,5
118140,1
34932,3
91721,1
111803,1
102921,3
56911,2
90862,1
24623,3
92214,1
16712,3
22271,3
119309,1
39746,1
81253,5
27952,1
76052,0
6278,49
136199,1
133276,1
79685,1
116310,2
2925,190
69876,2
100662,1
4670,3
17366,15
66228,1
118141,1
17146,66
106459,1
111981,1
24138,11
14077,200
85212,3
31260,2
86600,2
43707,1
97909,1
117543,4
30348,8
73509,1
97812,1
117067,1
8344,107
22704,141
20253,3
90787,1
67803,1
124548,1
134873,4
121036,1
56840,2
67175,1
20601,4
131036,2
129885,1
99773,5
5668,2
131052,38
81425,2
122056,1
99723,1
37873,1
113036,1
4105,2
127596,1
128180,406
76428,2
87995,1
62749,2
105588,1
94472,2
15403,2
56913,1
105727,49
9623,2
106843,1
29116,1
43530,0
25526,5
108520,1
13212,1
31433,2
117199,1
51550,1
111654,1
112811,1
107027,1
31532,2
16568,3
122799,4
33742,1
10959,1
40952,4
122064,2
78164,1
21418,2
91491,13
59956,1
104743,5
49647,1
17176,3
36097,2
19215,3
51692,5
85899,1
81488,2
117481,1
23172,2
108845,2
30888,1
117373,1
128958,0
125982,6
125328,7
49395,6
48648,4
67739,1
73987,3
36556,1
118965,3
72181,2
80451,7
74588,1
66581,1
66429,11
17833,2
36220,3
51119,2
51856,0
51467,62
121970,2
111284,1
38341,11
20969,2
70615,1
40446,1
3869,1
107017,1
87838,0
59991,9
132092,1
66126,1
21112,2
135784,83
96646,1
102893,2
108672,2
130036,1
7513,2
59657,1
109121,1
130316,5
102199,3
131972,1
32801,1
71403,16
132419,2
30227,19
107080,2
42612,1
132338,3
77209,103
4833,1
7199,2
57969,0
46835,1
67633,74
82682,1
126841,1
112961,1
18845,2
105160,1
126636,0
58139,0
121786,1
90217,1
9484,2
29779,2
61256,1
11023,2
8653,3
1920,176
55481,1
134704,1
5851,3
10459,2
132919,1
20007,2
131058,1
89863,20
26300,4
415,26
78174,7
54795,1
8804,4
57429,1
112631,1
117909,2
23360,3
44938,1
60326,13
28752,1
18984,2
47639,1
108440,133
482,250
123674,1
34458,179
638,3
84840,1
38896,2
125141,0
98654,1
129012,8
47730,1
104868,1
37101,1
88345,1
19909,2
75540,1
70406,2
112753,1
84833,1
133151,2
127528,1
118521,1
120036,13
73730,0
84936,1
89104,2
54603,0
84151,0
97092,9
117507,1
1176,4
44687,2
136626,1
65410,3
40432,1
52141,2
55104,1
64552,0
96465,1
34104,9
29313,1
99218,0
131291,4
133581,64
6507,38
61638,2
45155,37
44414,1
11917,9
117136,1
23077,2
102100,12
136792,1
9372,2
18116,2
135875,1
56885,1
42647,9
7114,3
45319,0
131462,10
31179,1
42856,3
90755,1
114253,1
14528,2
116659,1
41251,3
26447,1
6742,4
10237,11
118128,3
87191,1
28231,187
31240,1
3638,2
122149,0
112304,1
40111,1
120494,1
134305,1
102923,4
134680,2
22448,6
36640,5
84359,1
97028,1
28819,2
81122,1
64636,1
69265,1
126523,1
95686,2
72790,14
40055,1
7653,2
82838,1
97705,1
51211,1
92230,1
34313,2
12046,2
4187,2
19910,2
120727,1
49738,3
14990,2
31538,1
104283,3
59200,1
53437,1
10076,2
91767,2
87795,105
83992,1
36478,11
78902,13
133692,1
10651,2
38636,1
14942,2
24820,2
12266,91
71645,4
123401,4
70434,1
132494,1
103787,2
122718,1
6966,2
38713,2
118080,1
62605,13
94295,1
56108,6
62819,1
73236,1
60269,1
56012,1
70586,1
113523,1
39666,3
70053,3
9619,3
71609,1
103683,1
116896,1
74208,1
54887,1
69431,4
121766,1
56102,1
88744,7
31055,2
107215,5
92439,1
98317,1
8103,2
36798,1
97412,1
15968,3
76444,1
92514,1
97040,2
50253,9
15826,3
24974,2
93090,3
74084,1
80167,1
11787,2
29097,1
125580,1
125183,3
119397,8
15614,84
11308,4
132778,1
82188,1
86469,1
53541,0
103827,1
31687,1
65611,1
80956,1
89720,1
91829,22
82090,1
55074,1
62329,1
52337,5
45862,6
36350,1
40897,1
48914,1
22259,2
95129,1
51638,0
73822,1
131885,1
12207,4
64196,1
134387,1
103753,1
75062,1
14454,12
117202,1
83614,4
39185,3
53607,25
56231,2
61053,25
40810,13
70694,1
32482,1
120475,1
67756,2
54794,532
3197,2
96887,41
122370,13
74668,1
40896,8
57701,1
97474,1
49475,1
19910,2
109249,4
6853,19
18740,21
115545,3
7010,2
33268,8
49538,4
24459,20
40156,2
88509,2
70619,3
82016,1
105105,3
121670,2
124295,1
44239,2
84704,2
76300,4
124615,9
99832,0
123414,4
98809,1
90729,1
106013,1
3973,5
61908,1
16816,2
2058,3
65795,1
45907,1
12765,8
106695,1
26426,2
47730,1
42426,1
114338,2
62023,1
31761,0
37431,1
37708,2
90695,1
14163,2
78404,0
54620,0
104625,1
92021,1
68745,0
54492,3
70822,7
59750,25
58107,2
103282,4
20437,126
56805,3
45858,1
31753,3
107942,1
18814,9
17761,2
115572,1
129396,1
80850,1
135596,1
25140,3
126038,30
133048,1
53361,1
105912,1
31609,1
33025,8
54208,2
50595,16
30661,1
71458,3
120206,0
21456,8
53989,1
106998,0
67893,2
77831,1
37081,1
110862,1
77143,1
38642,5
43460,0
93319,3
7619,4
32918,1
72283,1
31736,1
121355,33
47330,1
59110,49
136147,1
82893,1
30120,2
108438,1
78733,2
89361,1
26219,6
102460,1
60451,31
101144,1
12016,2
67842,2
56368,10
25946,2
97604,1
73324,1
99676,2
116970,0
109982,1
124804,1
98645,39
110775,2
57456,6
17648,2
36513,3
49706,1
86127,2
52367,1
96469,2
41213,1
62827,1
16915,6
77323,2
94722,2
22900,414
40040,1
29087,1
81481,2
105936,1
63249,4
41846,1
55201,1
8262,18
97486,1
74446,132
18923,4
50658,1
6254,2
85941,411
40202,2
95444,2
94868,3
112071,2
126465,6
44881,2
132059,1
5641,18
84876,1
55589,1
54168,0
125451,3
43578,1
61262,1
99054,2
78519,118
120991,1
26542,1
42474,1
55083,4
86799,3
1655,6
127978,5
100158,1
90570,1
114893,4
75748,1
112717,1
56866,2
87286,1
73225,2
72611,1
51886,6
131756,0
6281,2
75324,1
21464,2
105621,2
64311,3
52243,1
